trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-166.27569224729794,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,3,-119.65737887408413,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-174.90246518838347,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,4,-68.34742679425862,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-85.38441103994626,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-62.54799502609835,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-166.53457485793632,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,12,-34.413292090908826,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,15,-33.926604276232794,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,22,2.53064374217561,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,2,-83.75632072407146,"{0: 17, 1: 2, 2: 0, 3: 3, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-8.113391724309235,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,9,-57.7721817822396,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,13,-42.80867914558213,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,10,15.478213392955722,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,26.751550707554493,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,23,21.672948479109323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,9,-22.307993477069687,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,4,2.2177216086243527,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,21.144736191417785,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,7,5.981350245868019,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,7,6.066577412380525,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,1,22.822080138546724,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,20,19.631914901391294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,-15.72926340205504,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,7,25.828072957207365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,16,36.64267037410734,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,16,15.880257987961173,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,33.34555789053148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,18,10.185116816258263,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
