trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.499, 'e': 0.9960079893439915}",20,0,-143.184112367339,"{0: 5, 1: 6, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.498, 'e': 0.9920319148370607}",20,0,-41.26699838021836,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.497, 'e': 0.9880717128619305}",20,0,-142.21582255372883,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.496, 'e': 0.9841273200552851}",20,0,-113.7846947123316,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.495, 'e': 0.9801986733067553}",20,0,-90.13559501999957,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.494, 'e': 0.9762857097579093}",20,0,-152.59806337525592,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.493, 'e': 0.9723883668012469}",20,0,-71.50647745529433,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.492, 'e': 0.9685065820791976}",20,0,-51.5988309981132,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.491, 'e': 0.9646402934831231}",20,0,-74.17191600938601,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.49, 'e': 0.9607894391523232}",30,0,-211.14127382511353,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.489, 'e': 0.9569539574730467}",20,0,-167.97715161642697,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.488, 'e': 0.9531337870775047}",25,0,-90.67379827471416,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.487, 'e': 0.9493288668428895}",20,0,-109.82939919242266,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.486, 'e': 0.9455391358903963}",25,0,-60.94069197653184,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.485, 'e': 0.9417645335842487}",20,0,-204.33203008488715,"{0: 8, 1: 4, 2: 4, 3: 0, 4: 4}",0
16,False,"{'a': 0.484, 'e': 0.9380049995307295}",30,0,-82.66205789055627,"{0: 18, 1: 10, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.483, 'e': 0.9342604735772135}",20,0,-72.11691435475844,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.482, 'e': 0.9305308958112057}",25,0,-154.53127314536832,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.481, 'e': 0.9268162065593822}",20,11,-2.614528626557423,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.48, 'e': 0.9231163463866358}",35,0,-193.12770460823083,"{0: 19, 1: 2, 2: 10, 3: 3, 4: 1}",0
21,False,"{'a': 0.479, 'e': 0.9194312560951247}",25,0,-198.59043340642566,"{0: 11, 1: 7, 2: 2, 3: 2, 4: 3}",0
22,False,"{'a': 0.478, 'e': 0.9157608767233256}",25,7,-104.98472038156379,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
23,False,"{'a': 0.477, 'e': 0.9121051495450904}",30,17,-63.68339748149655,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.476, 'e': 0.9084640160687062}",25,0,-176.11654516729652,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.475, 'e': 0.9048374180359595}",35,0,-226.5527790817552,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
26,False,"{'a': 0.474, 'e': 0.9012252974212047}",20,0,-73.85752902494248,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
27,False,"{'a': 0.473, 'e': 0.8976275964304349}",20,0,-207.27073477934098,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
28,False,"{'a': 0.472, 'e': 0.8940442575003572}",20,0,-74.1537673297627,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.471, 'e': 0.8904752232974726}",25,0,-82.86274143615216,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.47, 'e': 0.8869204367171575}",20,0,-193.91552134694987,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
31,False,"{'a': 0.469, 'e': 0.8833798408827509}",25,12,-126.07582137026918,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 2}",1
32,False,"{'a': 0.46799999999999997, 'e': 0.8798533791446438}",20,0,-48.38082464243963,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.46699999999999997, 'e': 0.8763409950793732}",20,0,-78.32233100028225,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
34,False,"{'a': 0.46599999999999997, 'e': 0.8728426324887193}",30,0,-30.511181973048224,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.46499999999999997, 'e': 0.8693582353988059}",20,0,-89.58285719973645,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.46399999999999997, 'e': 0.865887748059205}",25,0,-89.95708695655354,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
37,False,"{'a': 0.46299999999999997, 'e': 0.8624311149420455}",20,0,-62.81945861587348,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
38,False,"{'a': 0.46199999999999997, 'e': 0.8589882807411234}",20,0,-44.093660446112736,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
39,False,"{'a': 0.46099999999999997, 'e': 0.8555591903710185}",25,0,-82.83591694599869,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
40,False,"{'a': 0.45999999999999996, 'e': 0.8521437889662113}",20,0,-115.61154773340888,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.45899999999999996, 'e': 0.8487420218802068}",20,0,-70.01309459557064,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.45799999999999996, 'e': 0.8453538346846587}",25,0,-52.307363742362774,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.45699999999999996, 'e': 0.8419791731684999}",25,0,-84.96371443831654,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
44,False,"{'a': 0.45599999999999996, 'e': 0.838617983337074}",20,0,-82.49880373855328,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.45499999999999996, 'e': 0.835270211411272}",35,0,-167.14979611854486,"{0: 23, 1: 0, 2: 8, 3: 2, 4: 2}",0
46,False,"{'a': 0.45399999999999996, 'e': 0.8319358038266718}",30,5,-6.666133131540832,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.45299999999999996, 'e': 0.8286147072326806}",30,0,-117.24318025836205,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 0}",0
48,False,"{'a': 0.45199999999999996, 'e': 0.8253068684916823}",25,0,-99.9908398634811,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.45099999999999996, 'e': 0.8220122346781865}",20,0,-16.552467101654873,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.44999999999999996, 'e': 0.8187307530779818}",20,0,-95.02817272385637,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
51,False,"{'a': 0.44899999999999995, 'e': 0.8154623711872927}",25,0,-106.66773240056312,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.44799999999999995, 'e': 0.812207036711939}",35,0,-177.31817697406203,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.44699999999999995, 'e': 0.8089646975664998}",20,7,-51.103142317631175,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
54,False,"{'a': 0.44599999999999995, 'e': 0.8057353018734796}",25,0,-97.5395560864259,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
55,False,"{'a': 0.44499999999999995, 'e': 0.8025187979624785}",20,0,-51.85891873662303,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.44399999999999995, 'e': 0.7993151343693651}",20,0,-156.78214601378465,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
57,False,"{'a': 0.44299999999999995, 'e': 0.7961242598354538}",20,11,-66.65964638533512,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.44199999999999995, 'e': 0.7929461233066837}",20,0,-127.23194435260416,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.44099999999999995, 'e': 0.7897806739328027}",25,9,3.7400530383556294,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.43999999999999995, 'e': 0.7866278610665535}",25,0,-178.82683675159606,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
61,False,"{'a': 0.43899999999999995, 'e': 0.7834876342628625}",20,0,-84.44501249081054,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
62,False,"{'a': 0.43799999999999994, 'e': 0.7803599432780343}",20,7,-39.10731430974981,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
63,False,"{'a': 0.43699999999999994, 'e': 0.7772447380689461}",30,7,-133.30456526417117,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 2}",1
