trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.62039561314336,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.51544727096254,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-135.5502324651805,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,9,-93.94844203785752,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.66727846742921,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,2,-74.33713627283929,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.1005768916984,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-186.86646068462872,"{0: 6, 1: 5, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.81753611181466,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,14,-44.00458836014715,"{0: 6, 1: 1, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-145.2493021254737,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.31824184310715,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.74784127752257,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.68959371479821,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.76145461719391,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.55545072627766,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.72279063881496,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.1780574094408,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.05233148043445,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.03196837218067,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.15586766962689,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-201.0306475258394,"{0: 17, 1: 2, 2: 5, 3: 4, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,13,-85.5874935462064,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-155.3852218035535,"{0: 20, 1: 9, 2: 2, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.27469772365983,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.12705798502526,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.33107245263264,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-161.27904418686055,"{0: 24, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-276.51144661912133,"{0: 14, 1: 1, 2: 9, 3: 2, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.7122079112528,"{0: 10, 1: 3, 2: 11, 3: 0, 4: 1}",0
